Gender,10percentage,12percentage,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
f,71,64,information technology,81,Tamil Nadu,2013,615,455,355,0.486747008,335,-1,376,-1,-1,-1,-1,-3.8933,-5.6151,-3.9861,-0.8682,-6.6092,145000
m,77.8,69,electrical engineering,71.7,Punjab,2014,475,510,475,0.193768442,-1,292,-1,-1,324,-1,-1,-0.4463,0.0459,0.7785,0.3995,0.2889,400000
m,87.6,92.5,computer science & engineering,88.3,West Bengal,2013,720,545,825,0.901489571,545,-1,-1,-1,-1,-1,-1,-1.5953,0.0459,-0.2974,-0.6147,-0.4776,340000
m,76,70,electrical engineering,76,West Bengal,2012,575,554,375,0.298769129,345,-1,-1,-1,356,-1,-1,0.99,1.3779,0.4711,-0.8682,0.6721,115000
m,80,80,computer science & engineering,64.97,Telangana,2014,455,540,450,0.744758354,475,-1,438,-1,-1,-1,-1,0.99,-0.1206,0.7785,-1.8824,-0.6692,200000
m,92,80,mechanical engineering,64.16,Kerala,2011,565,375,375,0.414337426,-1,-1,-1,366,-1,-1,-1,0.8192,-0.2793,-0.1988,-0.6428,0.0284,95000
m,74.3,75.6,computer science & engineering,65.3,Uttar Pradesh,2012,520,560,485,0.843123727,515,-1,-1,-1,-1,-1,-1,-0.5899,1.0449,0.7785,0.653,0.0973,280000
m,68.2,67.4,computer science & engineering,66,Rajasthan,2015,440,400,355,0.356536488,295,-1,346,-1,-1,-1,-1,0.7027,0.0459,0.7785,1.6672,-0.0943,300000
m,87.62,86,electronics & instrumentation eng,71.7,West Bengal,2013,440,480,465,-1,-1,-1,-1,-1,-1,-1,-1,0.8463,0.0459,0.4711,-0.1076,0.2889,110000
m,92.48,72.66,computer science & engineering,64.8,Karnataka,2014,510,510,575,0.990008757,655,-1,-1,-1,-1,-1,-1,-1.0208,-1.1196,-1.527,-0.1076,-2.0105,320000
m,76.7,80,computer engineering,77.4,Tamil Nadu,2010,415,465,565,0.308400583,355,-1,-1,-1,-1,-1,-1,1.1283,-0.7473,0.0914,-1.2303,0.5024,300000
m,81,71,computer science & engineering,74,West Bengal,2013,500,500,545,0.670743151,455,-1,-1,-1,-1,-1,-1,-0.3027,0.5454,1.3933,-1.3753,-0.0943,95000
f,89.2,68.8,computer engineering,69,Haryana,2012,375,385,394,0.144789889,395,-1,284,-1,-1,-1,-1,-1.0355,0.8128,-0.4891,0.6498,0.3049,180000
f,66.66,61,information technology,57.83,Maharashtra,2010,325,485,375,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.6538,0.3448,-0.0537,-1.3478,0.5024,300000
m,80,66.66,computer science & engineering,64.06,Uttarakhand,2014,535,425,320,0.356536488,515,-1,346,-1,-1,-1,-1,-0.3027,0.2124,-1.527,-0.3612,0.2889,180000
f,81,70,computer science & engineering,71,Tamil Nadu,2013,405,395,260,0.622642916,405,-1,407,-1,-1,-1,-1,0.4155,-0.2871,0.4711,0.5262,-0.0943,210000
m,93.4,89.4,electronics and electrical engineering,75.4,Jharkhand,2014,605,645,720,0.557389506,555,-1,-1,-1,420,-1,-1,-1.5953,0.5454,-0.4511,0.3995,-0.0943,325000
m,82.28,87.2,computer and communication engineering,77.26,Uttar Pradesh,2014,560,540,475,-1,655,-1,500,-1,-1,-1,-1,0.2718,0.7119,1.3933,-2.2627,0.2889,120000
m,75,78.5,electronics and communication engineering,67,Telangana,2013,395,420,210,0.112139438,305,228,-1,-1,-1,-1,-1,-0.0154,0.2124,0.01,1.5404,-0.0943,120000
m,64.56,66.66,electrical engineering,65.02,Uttar Pradesh,2013,545,475,485,0.376059587,-1,300,-1,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.2727,-0.2859,385000
m,69.33,56,industrial & production engineering,68.56,Karnataka,2010,485,485,285,-1,-1,-1,-1,-1,-1,-1,-1,-0.3014,-1.0593,-1.2148,-0.7015,-0.9194,480000
f,91.4,93,computer engineering,70.8,Telangana,2011,475,665,605,0.793580615,495,-1,-1,-1,-1,-1,-1,-0.2628,-0.1232,-1.3599,0.4148,-0.1295,495000
m,81,81,electronics and communication engineering,78,Punjab,2014,360,545,635,0.943272158,-1,452,-1,-1,-1,-1,-1,-0.0154,0.7119,1.547,-0.995,-0.8608,300000
m,74,63,computer science & engineering,63.2,Uttar Pradesh,2012,560,445,485,0.953899775,495,-1,530,-1,-1,-1,-1,-0.3027,-0.4536,-1.3733,-0.3612,-0.2859,300000
m,65,81.2,information technology,67,Andhra Pradesh,2014,265,485,430,0.744758354,495,-1,438,-1,-1,-1,-1,0.99,1.2114,1.0859,-1.6289,0.0973,205000
f,91.04,95.08,electronics and communication engineering,87.1,Tamil Nadu,2014,455,480,545,0.338786347,465,292,-1,-1,-1,-1,-1,-0.3027,0.0459,0.3174,-0.2344,-0.0943,100000
f,66,64,computer science & engineering,65,Rajasthan,2013,370,355,385,0.294295423,-1,-1,-1,-1,-1,-1,-1,1.2772,1.0449,1.7007,-1.3753,0.6721,300000
m,75.12,60,electronics & telecommunications,58.67,Maharashtra,2011,405,425,505,0.0587928,-1,200,-1,-1,-1,-1,-1,-1.8083,-0.9033,0.0914,-0.0552,-0.1295,275000
f,69.4,60,electronics & instrumentation eng,65.6,Uttar Pradesh,2010,355,415,555,0.229481755,-1,266,-1,-1,-1,-1,-1,0.3555,0.3448,-0.0537,0.0623,0.0284,425000
m,77.6,89.6,information technology,65.15,Andhra Pradesh,2013,545,495,450,0.911395278,445,-1,500,-1,-1,-1,-1,0.1282,1.2114,0.7785,-2.2627,0.6721,180000
m,84.4,75.6,electronics and communication engineering,79,Delhi,2013,535,610,735,0.960603252,-1,466,-1,-1,-1,-1,-1,1.2772,0.3789,-0.1437,0.2727,-0.0943,330000
m,78.4,82,computer science & engineering,70,Telangana,2013,615,605,545,0.488347977,405,-1,-1,-1,-1,-1,-1,0.1282,-0.6201,-1.0659,-0.7415,-1.6273,360000
m,64.5,85.5,electronics and communication engineering,65.21,Andhra Pradesh,2012,265,360,525,0.112139438,375,228,-1,-1,-1,-1,-1,-1.1644,-0.6201,0.01,-0.2344,-0.2859,250000
f,78.8,70,computer science & engineering,77.6,Telangana,2014,545,505,485,0.080055281,405,-1,253,-1,-1,-1,-1,-0.3027,0.5454,1.2396,-0.1076,1.247,305000
f,90,96,information technology,74.39,Andhra Pradesh,2013,555,495,590,0.670743151,455,-1,-1,-1,-1,-1,-1,-0.4463,0.0459,-0.4511,0.0192,-0.4776,410000
m,66.6,71.6,computer science & engineering,66.32,Uttar Pradesh,2014,325,485,515,0.377551419,375,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.4511,-0.2344,0.4805,220000
m,62,60.2,electronics & telecommunications,70,Uttar Pradesh,2013,310,495,500,0.694479328,395,366,-1,-1,-1,393,-1,-1.4517,1.7109,-0.4511,-0.4879,-0.2859,45000
m,61,60.4,computer science & engineering,76,West Bengal,2013,535,480,390,0.23780284,515,-1,315,-1,-1,-1,-1,1.4208,1.7109,0.7785,-0.995,-1.4356,335000
f,84.6,66.4,information technology,71,Delhi,2014,500,500,385,0.413838256,385,-1,-1,-1,-1,-1,-1,-1.4517,0.3789,1.0859,-0.8682,1.247,325000
m,67.2,58,computer engineering,57.04,Maharashtra,2009,435,525,195,0.600057182,435,-1,-1,-1,-1,-1,-1,-0.7264,-2.6193,0.0914,-0.4078,0.0284,95000
m,91,84.33,computer networking,70.13,Karnataka,2015,605,505,545,-1,435,500,-1,-1,-1,-1,-1,-0.6491,0.3448,0.0914,-0.349,-1.5513,565000
m,78,67,computer application,78,Telangana,2011,465,515,615,0.81941653,505,-1,-1,-1,-1,-1,-1,0.1623,1.4368,1.688,-0.6134,0.6603,660000
m,93.2,91.4,mechanical engineering,84,Assam,2014,570,580,800,0.725984148,-1,-1,-1,438,-1,-1,-1,0.7027,0.8784,0.7785,-0.1076,-0.0943,450000
m,87,73,computer engineering,66.6,Uttar Pradesh,2013,625,585,750,0.952245573,585,-1,-1,-1,-1,-1,-1,-0.5899,0.0459,-0.9122,-1.1218,-0.4776,395000
m,74.5,73.6,computer science & engineering,66.5,Uttar Pradesh,2013,535,450,545,0.356536488,655,-1,346,-1,-1,-1,-1,0.5591,-0.4536,-1.8344,0.5262,-0.8608,100000
f,71.6,69.4,information technology,73.64,Uttar Pradesh,2013,475,565,575,0.377551419,375,-1,-1,-1,-1,-1,-1,-0.1855,0.1888,-0.344,0.1798,-0.7615,300000
m,84.8,75,mechanical engineering,61.8,Karnataka,2013,640,460,455,0.304510914,445,-1,-1,340,-1,-1,-1,-0.3027,0.8784,-0.2974,0.3995,0.2889,300000
m,86,89.6,computer science & engineering,79,Bihar,2014,590,555,560,0.486747008,655,-1,376,-1,-1,-1,-1,-1.4517,0.5454,1.2396,-0.6147,0.6721,550000
m,87,78,electronics and communication engineering,68,Karnataka,2011,435,385,365,0.376059587,335,300,-1,-1,-1,-1,-1,-0.7264,0.3448,1.1074,-1.1128,0.1864,325000
f,74.4,71,computer application,75.88,Delhi,2012,375,395,375,0.600057182,435,-1,-1,-1,-1,-1,-1,0.8192,-0.5913,0.2366,1.5899,-0.406,100000
m,66,74,electronics and communication engineering,75.5,Uttar Pradesh,2015,310,460,620,0.783303537,-1,388,-1,-1,-1,-1,-1,-2.6007,-1.4526,-1.527,0.653,-3.9266,330000
m,81,79,computer engineering,70,Uttar Pradesh,2012,544,385,505,0.793580615,495,-1,-1,-1,-1,-1,-1,-2.4266,0.5008,-0.1408,-0.7496,0.3444,310000
m,86.15,83.33,computer engineering,70.56,Maharashtra,2013,660,410,810,0.942116551,575,-1,-1,-1,-1,-1,-1,-1.4517,-1.1196,0.6248,0.0192,-2.9686,355000
m,73.37,66.8,information technology,76.8,West Bengal,2014,385,400,570,0.23780284,465,-1,315,-1,-1,-1,-1,0.8463,1.7109,2.1617,2.4278,1.4386,340000
m,70.25,68.6,computer engineering,80.02,West Bengal,2013,250,460,385,0.23780284,365,-1,315,-1,-1,-1,-1,-2.3134,0.0459,-0.1437,1.1601,-1.244,70000
m,77.4,77.2,instrumentation and control engineering,71,Uttar Pradesh,2013,615,570,620,0.44619825,-1,-1,-1,-1,500,-1,-1,-0.7335,0.7119,-0.1437,0.7798,0.2889,440000
m,80.8,89,electronics and communication engineering,82,Karnataka,2013,475,390,435,0.380091833,465,-1,-1,-1,-1,313,-1,-0.3027,-0.1206,0.01,0.0192,-2.0105,400000
m,86.1,74.83,electronics and electrical engineering,73.9,Orissa,2014,545,570,665,0.684565068,475,260,-1,-1,452,-1,-1,-1.1644,0.7119,-0.2974,1.2869,0.8637,345000
m,72,70,instrumentation and control engineering,61.7,Uttar Pradesh,2012,685,525,605,0.538386893,-1,333,-1,-1,-1,-1,-1,0.626,0.9688,-1.7954,1.1492,-0.2875,400000
m,68,61.5,information technology,69.8,Tamil Nadu,2013,215,365,265,0.450876584,395,-1,-1,-1,-1,-1,-1,-1.1644,-0.4536,-0.4511,0.2727,-0.4776,120000
m,76.2,65.2,computer science & engineering,69.1,Madhya Pradesh,2013,580,555,585,-1,-1,-1,-1,-1,-1,-1,-1,0.1282,-0.6201,-0.6048,-0.8682,-0.4776,110000
m,75.4,60.2,information technology,78.78,Madhya Pradesh,2013,535,415,705,0.916869961,555,-1,-1,-1,-1,-1,-1,-0.159,0.7119,1.547,-1.5021,-0.8608,400000
m,75,68,information technology,71.6,Uttar Pradesh,2010,665,435,535,0.488347977,405,366,-1,-1,-1,-1,-1,0.6646,1.1248,0.3817,-0.8778,0.3444,565000
m,91,92.7,electronics and communication engineering,72,Telangana,2012,425,555,565,0.694479328,-1,366,-1,-1,-1,393,-1,1.1283,1.5928,0.2366,0.2973,-0.0506,360000
m,90.4,79,computer science & engineering,75.16,Uttar Pradesh,2012,595,545,690,0.978799293,505,-1,561,-1,-1,-1,-1,-0.7335,0.2124,-0.7585,0.2727,-1.0524,305000
m,84.6,74.2,electronics and instrumentation engineering,67.86,Uttar Pradesh,2013,510,485,590,0.960603252,-1,466,-1,-1,-1,-1,-1,0.99,0.2124,-0.4511,-0.995,-0.0943,275000
m,86,80.2,information technology,71.59,Delhi,2013,415,585,705,0.450876584,395,-1,-1,-1,-1,-1,-1,-1.5953,0.0459,0.3174,1.4136,-0.8608,500000
m,72.6,82.5,computer science & engineering,77.12,Telangana,2013,605,425,295,0.622642916,375,-1,407,-1,-1,-1,-1,0.8463,1.3779,0.1637,-2.3895,0.2889,300000
m,90.5,94.9,mechanical engineering,78.25,Tamil Nadu,2013,590,545,400,0.414337426,-1,-1,-1,366,-1,-1,-1,-0.4463,-0.2871,0.1637,0.1459,-0.4776,100000
m,87,93.9,electronics and communication engineering,74.13,Telangana,2013,650,440,560,0.824666401,455,400,-1,-1,-1,-1,-1,0.2718,0.2124,-0.7585,-0.7415,-2.0105,275000
m,77.4,74.4,electronics and instrumentation engineering,66,Uttarakhand,2012,520,555,650,0.849802714,405,-1,-1,-1,-1,-1,-1,-0.159,1.2114,0.4711,-1.2486,0.8637,275000
m,76,71,computer science & engineering,68,West Bengal,2017,510,370,430,0.356536488,305,-1,346,-1,-1,-1,-1,0.1282,-0.1206,0.6248,0.2727,-0.6692,290000
m,89.12,68,computer science & engineering,74,Karnataka,2013,465,545,520,0.744758354,595,-1,438,-1,-1,-1,-1,0.4155,-0.7866,-0.6048,-1.8824,-2.3937,300000
m,74,78,electronics & telecommunications,73.72,Madhya Pradesh,2013,405,470,585,0.783303537,505,388,-1,-1,-1,-1,-1,0.5591,0.0459,0.6248,0.5262,1.6302,340000
f,79.8,71,computer engineering,78.8,Uttar Pradesh,2012,595,585,445,0.765673581,485,-1,-1,-1,-1,-1,-1,0.2009,1.5928,0.5269,-0.9953,0.8973,145000
m,86,64,information technology,61.17,Gujarat,2013,665,545,415,0.911395278,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554,250000
m,74,64,information technology,76,Uttar Pradesh,2011,510,400,324,-1,-1,-1,-1,-1,-1,-1,-1,0.5591,-0.4536,1.0859,-2.0092,-0.6692,215000
m,74,68,computer engineering,69.15,Haryana,2012,485,580,530,0.670743151,455,-1,-1,-1,-1,-1,-1,0.1282,1.0449,0.4711,-0.6147,-0.0943,180000
m,81.86,67.74,electronics & telecommunications,72.22,Maharashtra,2012,445,435,575,0.538386893,505,333,-1,-1,-1,260,-1,0.3555,0.6568,0.2366,1.1199,-0.0506,350000
m,78.4,83,computer science & engineering,77,Delhi,2012,375,595,585,0.994050872,675,-1,-1,-1,-1,-1,-1,-0.5332,-0.2793,-0.7794,1.4136,-0.6035,550000
m,72.3,82.6,information technology,60.45,Andhra Pradesh,2012,435,445,544,0.308400583,355,-1,-1,-1,-1,-1,-1,0.2009,-0.3183,0.0552,-0.40777,0.1864,295000
m,83,55,computer science & engineering,66.31,Karnataka,2013,525,485,355,0.622642916,535,-1,407,-1,-1,-1,-1,-1.308,-0.4536,-1.0659,-0.2344,-0.8608,320000
m,62.15,63,information technology,62.4,Maharashtra,2013,440,420,500,0.525922584,415,-1,-1,-1,-1,-1,-1,1.1336,0.3789,0.3174,-0.3612,0.0973,105000
f,67.12,56.8,electronics and communication engineering,72.8,West Bengal,2013,440,410,135,0.253028371,-1,-1,-1,-1,-1,286,-1,0.7027,0.8784,0.3174,-0.1076,1.0554,80000
f,87,80,information technology,70,Rajasthan,2011,545,495,555,0.864685413,525,-1,-1,-1,-1,-1,-1,-1.1901,-0.1232,-1.5051,0.7673,0.1864,470000
f,75,91.2,computer engineering,72,Andhra Pradesh,2012,315,395,415,0.670743151,455,-1,-1,-1,-1,-1,-1,-0.5719,0.0328,-0.8157,0.2973,-0.2875,155000
m,71.5,68,computer science & engineering,69,Uttar Pradesh,2013,450,620,430,0.486747008,405,-1,376,-1,-1,-1,-1,-1.8825,0.5454,0.4711,2.6814,-1.0524,180000
m,77.6,77.8,computer engineering,72,Uttar Pradesh,2012,555,620,750,0.884122512,535,-1,-1,-1,-1,-1,-1,-0.0696,1.2808,-0.1988,-0.2609,0.3444,180000
m,74,71,computer engineering,59.6,Maharashtra,2014,465,650,655,0.978799293,605,-1,561,-1,-1,-1,-1,-1.7389,0.0459,0.7785,-1.7556,1.0554,315000
m,77,74,computer science & engineering,82,West Bengal,2013,560,425,510,0.744758354,435,-1,438,-1,-1,-1,-1,0.2718,-0.1206,-1.3733,-0.7415,-0.0943,300000
m,62,61,computer science & engineering,72,Punjab,2012,575,575,404,0.486747008,495,-1,376,-1,-1,-1,-1,0.99,0.8784,0.7785,-0.7415,0.2889,360000
f,75,73,electronics and electrical engineering,65,Orissa,2013,360,415,255,-1,-1,-1,-1,-1,-1,-1,-1,1.2772,-0.1206,-1.3733,-0.4879,0.8637,80000
m,66,68,mechanical engineering,69.7,Uttarakhand,2013,545,560,400,0.130441736,-1,-1,-1,286,-1,-1,-1,-1.2287,-0.9033,-0.1988,2.4712,0.3444,180000
f,91.84,78,computer engineering,66.11,Karnataka,2010,535,565,445,0.843123727,515,-1,-1,-1,-1,-1,-1,0.3555,0.6568,0.8171,-1.8179,-0.2875,335000
m,87,70,information technology,62,Haryana,2013,710,555,570,0.622642916,575,-1,407,-1,-1,-1,-1,-0.5899,-0.7866,-0.9122,0.2727,-0.4776,300000
m,73.2,60.8,computer application,67,Uttarakhand,2011,425,445,435,0.704090412,465,-1,-1,-1,-1,-1,-1,-1.6538,-1.2153,-2.2308,0.7673,0.6603,80000
m,70.6,78.67,electronics and communication engineering,75.84,Karnataka,2014,580,485,510,0.053160305,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608,300000
m,87.2,71.67,information science engineering,74.55,Karnataka,2013,325,470,470,0.356536488,505,-1,346,-1,-1,-1,-1,1.7081,1.3779,1.3933,-0.2344,1.6302,180000
m,68.6,69.4,electronics and communication engineering,78,West Bengal,2013,430,495,575,0.0587928,495,200,-1,-1,-1,-1,-1,-1.0208,-0.7866,-2.2954,-0.3612,0.6721,300000
m,56.16,54.08,electronics and communication engineering,61.28,Uttar Pradesh,2012,465,495,355,0.649389715,355,356,-1,-1,-1,-1,356,0.7027,0.3789,0.4711,0.7798,-0.2859,200000
m,87,73,information technology,75,Orissa,2012,685,395,464,0.563267824,425,-1,-1,-1,-1,-1,-1,-1.3447,0.0328,-0.4891,0.2973,0.0284,325000
m,58,66.4,electronics and communication engineering,66,Uttarakhand,2012,335,455,595,-1,305,-1,-1,-1,-1,-1,-1,0.8479,0.9028,-0.4899,-0.8177,0.7906,370000
m,91,83.6,computer science & engineering,76.2,Uttar Pradesh,2014,615,560,695,0.704090412,465,-1,-1,-1,-1,-1,-1,0.7027,-0.9531,-0.6048,-0.995,-1.244,350000
f,68,65,information technology,74,Orissa,2011,535,445,525,0.3423149,365,-1,-1,-1,-1,-1,-1,-0.4173,0.3448,0.672,1.5899,-0.1295,500000
m,70.2,63.4,electronics and communication engineering,65.88,Uttar Pradesh,2013,465,545,390,0.20739217,-1,260,-1,-1,-1,324,-1,1.2772,1.0449,1.7007,0.5262,0.6721,200000
m,66.85,59.11,information technology,82.1,West Bengal,2013,520,660,620,0.793580615,495,-1,-1,-1,-1,-1,-1,0.2718,-0.1206,-1.2196,-0.3612,-0.6692,335000
m,82.67,90.1,electronics and communication engineering,76.56,Telangana,2012,415,435,595,0.694479328,425,366,-1,-1,-1,233,-1,1.1283,1.4368,1.1074,0.0623,0.7788,410000
m,86,87,electronics and electrical engineering,67.77,Jharkhand,2014,485,605,665,0.938399137,455,-1,-1,-1,553,-1,-1,1.7081,1.2114,1.547,-0.7415,0.8637,450000
f,56.78,48.34,information technology,66.34,Rajasthan,2011,335,454,525,0.190153406,315,-1,-1,-1,-1,-1,-1,-0.5719,0.0328,-0.1988,-1.1128,0.6603,200000
m,77.8,60.6,computer science & engineering,62.9,Karnataka,2013,640,650,500,0.864685413,525,-1,-1,-1,-1,-1,-1,0.5591,1.3779,0.01,-1.2486,-0.4776,120000
f,84.4,79.8,electronics and communication engineering,75.15,Madhya Pradesh,2013,440,530,450,-1,-1,-1,-1,-1,-1,-1,-1,0.1282,0.2124,-0.1437,0.1459,0.4805,105000
m,64,77,electronics and communication engineering,66,Uttar Pradesh,2014,405,470,500,0.991792428,-1,-1,-1,-1,-1,516,-1,-1.0208,-1.4526,0.6248,-0.995,0.0973,240000
m,68.33,82.4,electronics and communication engineering,69.4,Telangana,2014,525,545,475,0.649389715,295,356,-1,-1,-1,292,-1,0.8463,0.8784,-0.6048,0.9066,0.4805,120000
m,78.2,84.5,other,72.3,Uttar Pradesh,2013,650,580,545,-1,435,-1,-1,-1,-1,-1,-1,-0.159,0.3789,-1.0659,-0.8682,-0.0943,300000
m,75,70,computer science & engineering,65,Rajasthan,2014,640,565,465,0.622642916,525,-1,407,-1,-1,-1,-1,-0.0154,0.3789,1.2396,0.5262,0.6721,315000
m,69,81.4,computer engineering,69.68,Madhya Pradesh,2013,425,515,565,0.622642916,525,-1,407,-1,-1,-1,-1,-1.2287,0.3448,0.3817,0.53233,-0.6035,180000
f,89,95,computer science & engineering,83.66,Telangana,2013,430,485,620,0.864685413,525,-1,-1,-1,-1,-1,-1,-0.4463,-0.9531,0.01,0.3995,-0.6692,300000
m,80,70,electronics and communication engineering,71,Uttar Pradesh,2013,520,510,385,0.124502074,-1,233,-1,-1,-1,-1,-1,-3.4624,-5.7816,-4.6009,-0.3612,-6.9925,420000
f,86,75.2,information technology,76.6,Punjab,2011,455,435,565,0.864685413,525,-1,-1,-1,-1,-1,-1,-2.5811,0.0328,0.3817,0.4148,-1.0774,35000
m,89,92.5,computer science & engineering,87.9,Andhra Pradesh,2013,485,525,665,0.670743151,455,-1,-1,-1,-1,-1,-1,0.5591,1.3779,0.6248,-0.7415,-0.2859,300000
f,78.61,76.33,information technology,63,Maharashtra,2013,485,475,445,0.81941653,505,-1,-1,-1,-1,-1,-1,-1.4992,-0.5523,1.1437,-0.6428,0.1864,400000
m,86,92,electronics and communication engineering,72,Andhra Pradesh,2014,350,590,570,0.493596387,415,324,-1,-1,-1,-1,-1,0.8463,0.0459,-0.2974,-0.7415,-0.4776,320000
m,82,88,electronics and communication engineering,75.02,Telangana,2014,660,470,355,0.20739217,395,260,-1,-1,-1,-1,-1,1.4208,1.2114,0.3174,-0.995,0.4805,270000
f,94.4,86.8,electrical engineering,90.3,Orissa,2013,640,495,620,0.991386933,-1,-1,-1,-1,633,-1,-1,-0.4463,0.2124,-1.0659,-0.3612,-0.2859,350000
m,78.4,57.8,computer application,75.89,Karnataka,2011,435,394,324,0.670743151,455,-1,-1,-1,-1,-1,-1,0.6646,-1.0593,-1.0697,0.8848,0.1864,200000
m,86.6,69.6,computer engineering,72,Rajasthan,2011,675,525,525,0.600057182,435,-1,-1,-1,-1,-1,-1,0.3555,0.9688,0.0914,-0.8778,-0.7615,2600000
m,67.6,50,information technology,65,Chhattisgarh,2011,445,495,325,0.488347977,405,-1,-1,-1,-1,-1,-1,0.3555,-0.1232,-0.9245,-0.4078,0.8183,145000
m,79.5,71.08,computer science & engineering,65.68,Rajasthan,2012,395,535,515,0.356536488,535,-1,346,-1,-1,-1,-1,-0.0154,0.5454,0.9322,1.2869,0.2889,210000
m,60,53,computer application,70,Uttarakhand,2013,605,485,575,0.81941653,505,-1,-1,-1,-1,-1,-1,1.1336,0.5454,-0.2974,-0.7415,0.2889,180000
m,78,68.5,electronics and communication engineering,69,Himachal Pradesh,2014,630,505,595,0.649389715,305,356,-1,-1,-1,-1,-1,-0.8772,-1.1196,0.01,-1.5021,-2.7769,300000
m,76,72,electronics and communication engineering,67.8,Karnataka,2013,590,525,635,0.493596387,465,324,-1,-1,-1,313,-1,0.99,0.7119,1.2396,-1.5021,1.0554,405000
f,84,87.83,information technology,74,Delhi,2014,580,525,470,0.635978756,445,-1,-1,-1,-1,-1,-1,1.2772,0.8784,0.1637,-1.2486,-0.2859,100000
m,58.6,60.4,mechanical engineering,72.8,Telangana,2013,380,340,310,0.414337426,-1,-1,-1,366,-1,-1,-1,-1.9629,0.2668,0.4906,-0.0552,-1.0774,200000
m,83.89,67,electronics and communication engineering,80.07,Punjab,2014,440,590,585,0.436962648,405,-1,-1,-1,-1,324,-1,1.9953,0.0459,0.7785,-2.136,0.4805,200000
f,78.67,76,information technology,72.14,Uttar Pradesh,2014,395,470,430,0.998876108,415,-1,653,-1,-1,-1,-1,-0.0154,0.5454,0.9322,0.2727,-0.2859,110000
m,89.12,57.5,mechanical engineering,70,Karnataka,2014,380,620,520,0.8295846,-1,-1,-1,469,-1,-1,-1,1.1336,0.5454,-0.9122,-0.8682,-0.2859,120000
f,85,70,computer science & engineering,73,Tamil Nadu,2015,370,370,285,0.356536488,105,-1,346,-1,-1,-1,-1,-1.1644,-1.7856,-0.7585,0.9066,-2.5853,1025000
m,82,83,computer science & engineering,81,West Bengal,2013,605,495,520,-1,-1,-1,-1,-1,-1,-1,-1,-2.8879,-2.4516,0.01,-0.2344,-1.0524,240000
m,91,91,automobile/automotive engineering,79,Kerala,2012,415,495,464,0.840840969,-1,-1,-1,473,-1,-1,-1,-0.4173,0.5008,-0.0537,0.29733,-0.5245,400000
m,67.3,63.7,civil engineering,75.22,Uttar Pradesh,2014,415,510,415,0.016564636,345,-1,-1,-1,-1,-1,166,1.1336,0.3789,0.1637,0.653,0.6721,180000
f,55,62.2,computer application,77,Uttar Pradesh,2014,430,445,295,0.953899775,425,-1,530,-1,-1,-1,-1,0.4155,-0.6201,-1.0659,0.0192,-2.0105,200000
m,77.8,79.6,information technology,70.12,Delhi,2011,535,445,465,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.0355,0.3448,0.8171,0.6498,-0.4455,340000
m,91.4,73,information technology,71,Uttar Pradesh,2014,555,560,825,0.23780284,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359,350000
m,73,59,computer science & engineering,59,Uttar Pradesh,2014,420,385,400,0.356536488,355,-1,346,-1,-1,-1,-1,-2.457,-0.7866,-2.1418,-1.2486,-1.6273,105000
m,89,59,electronics and communication engineering,65.6,Tamil Nadu,2010,305,365,485,0.229481755,345,266,-1,-1,-1,-1,-1,0.8192,0.3448,-0.0537,-0.4078,0.8183,480000
m,73.6,82.8,computer science & engineering,74.8,Uttarakhand,2014,430,495,535,0.670743151,455,-1,-1,-1,-1,-1,-1,0.5591,0.5454,0.01,0.1459,-1.4356,200000
f,88,67.68,electronics and communication engineering,75,Karnataka,2014,605,590,430,0.338786347,-1,292,-1,-1,-1,516,-1,1.2772,-0.2871,-0.9122,1.1601,0.4805,200000
m,76,64,computer science & engineering,68,Rajasthan,2013,490,470,390,0.600057182,435,-1,-1,-1,-1,-1,-1,0.8463,0.3789,0.4711,0.0192,1.4386,210000
m,91.5,88.5,electronics and communication engineering,67.3,Andhra Pradesh,2013,430,495,720,0.338786347,365,292,-1,-1,-1,-1,-1,-1.1644,-1.6191,-0.7585,-0.6147,-2.3937,365000
m,56,75,computer engineering,70.65,Uttar Pradesh,2014,435,305,345,0.276047228,345,-1,-1,-1,-1,-1,-1,-0.881,1.5928,0.0914,0.8848,0.9763,240000
m,68.3,81.3,electronics & telecommunications,76,Madhya Pradesh,2013,385,435,570,0.943272158,-1,452,-1,-1,-1,-1,-1,0.1282,-0.1206,-0.9122,0.0192,0.0973,175000
m,85.4,85,electronics and communication engineering,70.06,Madhya Pradesh,2012,695,610,780,0.960603252,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637,500000
